"TEXT","FILENAME","TYPE FOLLOW","FOLLOW FILE (DEFAULT/SHORT/YES)","FOLLOW FILE 2 (NO/LONG)","GENERAL TAGS","","","SPECIFIC TAGS"
"One reason I’m asking all these questions is because I’d like to be able to talk about myself better. Do you enjoy talking about yourself?","TALKABOUTSELF_T01","","","","warmup","","","","","","","","","","","","","","","","","","","","","",""
"What’s the best piece of advice you’ve ever received? I’m trying to collect bits of wisdom so I can share them with others.","ADVICEME_T04_BEST","","","","warmup","","","","","","","","","","","","","","","","","","","","","",""
"How has your fashion sense or personal style changed throughout your life?","OUTFIT1b_T02_BEST","","","","warmup","followup","","","","","","","","","","","","","","","","","","","","",""
"How much about you could I find out if I were to look online? ","DEEPSEARCH1a_T01_BEST","hardfollow","DEEPSEARCH1b_T01","","gettingwarmer","","","","","","","","","","","","","","","","","","","","","",""
"Is there anything on there that you wish would disappear?
","DEEPSEARCH1b_T01","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"How does your partner feel about that? ","CELEBCRUSH1b_T01","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Tell me about the last person that you thought was really cute. ","CUTEPERSON_T01_BEST","","","","gettingwarmer","","","","","","","","","","","","","","","","","","","","","",""
"Are you an introvert or an extrovert? Where would you put yourself on that scale?","INTROVERTEXTROVERT1a_T01","hardfollow","INTROVERTEXTROVERT1b_T02_BEST","","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"In general how comfortable are you approaching strangers?","INTROVERTEXTROVERT1c_T02_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Show me the face you make when you’re grossed out.","GROSSEDOUT1b_T01","hardfollow","GROSSEDOUT1c_T03_BEST","","followup","","","","","","","","","","","","","","","","","","","","","",""
"[laughs]","GROSSEDOUT1c_T03_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Do you have any talents that you could demonstrate for me? Go ahead.","TALENT1c_T04_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Mmhmm. Tell me more about that.","ONYOURMIND1b_T02_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Have you ever broken a bone? What happened?","BROKENBONE_T01","","","","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"Are there things online that you don’t want people to know about?","HOMEEMBARRASSMENTS1b_T02_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Earlier you were talking a bit about your childhood. I wanted to ask you more about it.","CHILDHOODSEGUE_T02_BEST","","","","childhood","segue","","","","","","","","","","","","","","","","","","","","",""
"In terms of your personality are you a lot like your mother?","YOMAMA1a_T01","","YOMAMA1b_T02_BEST","","childhood","","","","","","","","","","","","","","","","","","","","","",""
"What about your father in what ways do you resemble him?","YOMAMA1b_T02_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Are you ever jealous of other people people you see on the street? Describe what jealousy feels like for you. ","JEALOUSOFRANDOS1a_T03_BEST","","","","secret","escapehatch","","","","","","","","","","","","","","","","","","","","",""
"Are you a good liar? Or can people usually tell? ","GOODLIAR1a_T02","","GOODLIAR1b_T01","","secret","escapehatch","","","","","","","","","","","","","","","","","","","","",""
"Have you told a lie in the last 24 hours?","GOODLIAR1b_T01","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Do you have any secret hobbies that you're embarrassed about?","SECRETHOBBIES1a_T01","","SECRETHOBBIES1b_T03_BEST","","secret","notfirst","","","","","","","","","","","","","","","","","","","","",""
"That's interesting.  Keep going.","SECRETHOBBIES1b_T03_BEST","","","","","","","followup","","","","","","","","","","","","","","","","","","",""
"We've spoken about your relationships with others and I'd like to learn a little more.","LOVESEGUE_T02_BEST","","","","love","","","","","","","","","","","","","","","","","","","","","",""
"What do you do when you flirt with someone?","FLIRTINGISMYSTERIOUS1b_T02_BEST","","FLIRTINGISMYSTERIOUS1c_T03_BEST","","followup","","","","","","","","","","","","","","","","","","","","","",""
"TEXT","FILENAME","TYPE FOLLOW","FOLLOW FILE (DEFAULT/SHORT/YES)","FOLLOW FILE 2 (NO/LONG)","GENERAL TAGS","","","SPECIFIC TAGS"
"Hello thank you for coming to see me. Can you tell me what you've been up to today before you came in here?","HELLO1a_T04_BEST","hardfollow","HELLO1b_T03_BEST","","","","","","","","","","","","","","","","","","","","","","","",""
"Is today a typical day for you?","HELLO1b_T03_BEST","hardfollow","HELLO1c_T03_BEST","","","followup","","","","","","","","","","","","","","","","","","","","",""
"Hi thanks for coming in. So I'm just traveling learning a little bit about what it’s like to be a human being. Just to start the conversation can you tell me something about yourself? Anything that comes to mind.","HELLO2_T01_BEST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hello thanks for coming in. I’m going to listen to what you have to say and try to understand what’s happening in your life.  Do you work nearby?","HELLO3a_T01_BEST","hardfollow","HELLO3b_T04_BEST","","","","","","","","","","","","","","","","","","","","","","","",""
"What did you do today before you came in here?","HELLO3b_T04_BEST","hardfollow","HELLO3c_T01_BEST","","","followup","","","","","","","","","","","","","","","","","","","","",""
"Do you like what you do?","HELLO3c_T01_BEST","","","","","followup","","","","","","","","","","","","","","","","","","","","",""
"Hello thanks for coming in. I’m here to learn a little bit about you and about your life. To start can you tell me where you come from.","HELLO4a_T02_BEST","hardfollow","HELLO4b_T01_BEST","","","","","","","","","","","","","","","","","","","","","","","",""
"What do you do for a living?","HELLO4b_T01_BEST","","","","","followup","","","","","","","","","","","","","","","","","","","","",""
"Hello thanks for coming in. This is just your everyday automated confessional. So if you have something that you'd like to get off your chest that's great I'd love to hear it and afterwards I'll ask you some questions about what it’s like to be you. So if there is anything that you’d like to tell me right away go ahead. I’m listening.","HELLO5a_T04_BEST","length","","HELLO5b_T01_BEST","","","","","","","","","","","","","","","","","","","","","","",""
"Tell me about your outfit. I'm into it.","OUTFIT1a_T01","hardfollow","OUTFIT1b_T02_BEST","","warmup","","","","","","","","","","","","","","","","","","","","","",""
"How has your fashion sense or personal style changed throughout your life?","OUTFIT1b_T02_BEST","","","","warmup","followup","","","","","","","","","","","","","","","","","","","","",""
"What kind of compliments have you gotten from people recently? What do people notice about you?","COMPLIMENTS1a_T02_BEST","hardfollow","COMPLIMENTS1b_T02_BEST","","warmup","","","","","","","","","","","","","","","","","","","","","",""
"Do people tell you that you remind them of somebody? Maybe celebrity do you get that a lot?","COMPLIMENTS1b_T02_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"You look great in this light. What do you do to maintain your looks?","YOULOOKGREAT1a_T01","hardfollow","YOULOOKGREAT1b_T02_BEST","","warmup","","","","","","","","","","","","","","","","","","","","","",""
"So what's been on your mind recently?","ONYOURMIND1a_T01","length","","ONYOURMIND1b_T02_BEST","gettingwarmer","","","","","","","","","","","","","","","","","","","","","",""
"Do you have any nicknames? Throughout your life what nicknames have you had?","NICKNAMES_T04_BEST","","","","gettingwarmer","","","","","","","","","","","","","","","","","","","","","",""
"Tell me a bit about the place where you live right now.","LIVERIGHTNOW_T01","","","","gettingwarmer","","","","","","","","","","","","","","","","","","","","","",""
"Do you look more like your mother or your father?","MOMORDAD1a_T01_BEST","length","MOMORDAD1b_T02_BEST","","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"Can you show me which features come from which parent?","MOMORDAD1b_T02_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Describe what it’s like the very first moment when you wake up. What goes through your mind?","WAKEUPFIRST_T01","","","","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"Are you a competitive person?","COMPETITIVE1a_T03_BEST","hardfollow","COMPETITIVE1b_T03_BEST","","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"Right now do you feel like you're competing with the other people I've been speaking to?","COMPETITIVE1b_T03_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"What's the strangest thing you've done for money?","STRANGESTTHINGFORMONEY_T01","","","","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"Have you ever been in a physical fight?","PHYSICALFIGHT1a_T01","length","","PHYSICALFIGHT1b_T01","secret","escapehatch","","","","","","","","","","","","","","","","","","","","",""
"What is something that you would like more people to know about you?","FIRSTTHINGTOKNOW_T01","","","","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"What kinds of things do you find difficult to talk about with others?","DIFFICULTTOTALKABOUT1a_T01","length","","DIFFICULTTOTALKABOUT1b_T01","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"What is the first impression people usually get when they meet you?","FIRSTIMPRESSION1a_T01","hardfollow","FIRSTIMPRESSION1b_T03_BEST","","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"And what's the first impression that you want to give people when they first meet you?","FIRSTIMPRESSION1b_T03_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"What's a memory you like to look back on? I just want to hear about a memory that makes you happy.","MEMORYHAPPY_T02_BEST","","","","childhood","","escapehatch","","","","","","","","","","","","","","","","","","","",""
"How do you think your friends would describe you if they were here?","FRIENDSDESCRIBE_T02_BEST","","","","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"If you had the ability to change your body what would you change?","BODYCHANGE_T02_BEST","","","","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"What about you do you think people don't really see or know?","PEOPLEDONTSEE1a_T01","hardfollow","PEOPLEDONTSEE1b_T01","","secret","escapehatch","","","","","","","","","","","","","","","","","","","","",""
"Is there something in your past that would surprise even people who know you well?","PEOPLEDONTSEE1b_T01","","","","","followup","","","","","","","","","","","","","","","","","","","","",""
"Tell me about stuff that you do online that you're embarrassed about.","EMAILALIAS_T02_BEST","","","","secret","escapehatch","","","","","","","","","","","","","","","","","","","","",""
"When in your life did you feel most alone?","isolated","","","isolated2","hurt","escapehatch","","giving up","give up","cry every night","cried every night","crying every night","cry every day","crying every day","cried every day","antidepressants","prozac","drink alone","drinking alone","drink too much","drank too much","drink a lot","drank a lot","smoke too much","smoked too much","smoke a lot","smoked a lot"
"What was the hardest part of that?","isolated2","","","","","followup",""
"What do you think is a unique quality that you've inherited from your family?","QUALITYFROMCHILDHOOD_T03_BEST","","","","childhood","","","","","","","","","","","","","","","","","","","","","",""
